cod_postal;localidade
4839;NESPEREIRA GMR
4840;BALANÇA
4845;RIO CALDO
4850;ANISSÓ
4925;VIANA DO CASTELO
2669;VILA FRANCA DO ROSÁRIO
2670;LOURES
4904;VIANA DO CASTELO
4835;GUIMARÃES
4950;ABEDIM
4890;ARNOIA
4900;VIANA DO CASTELO
4860;ABADIM
4870;ALVADIA
4880;ATEI
2440;BATALHA
2404;LEIRIA
2405;MACEIRA LRA
2499;SANTA CATARINA DA SERRA
2500;A DOS FRANCOS
2240;ÁGUAS BELAS FZZ
2230;ALCARAVELA
2410;LEIRIA
1500;LISBOA
1949;LISBOA
1950;LISBOA
1166;LISBOA
1167;LISBOA
1169;LISBOA
1499;CRUZ QUEBRADA-DAFUNDO
2070;CARTAXO
4800;GUIMARÃES
1170;LISBOA
4795;AVES
4804;GUIMARÃES
4805;BALAZAR GMR
7080;VENDAS NOVAS
6370;ALGODRES FAG
6400;PÍNZIO
6420;TRANCOSO
7009;ÉVORA
7040;ARRAIOLOS
7050;MONTEMOR-O-NOVO
5300;BRAGANÇA
6424;TRANCOSO-SANTA MARIA
6430;AVELOSO
6440;FIGUEIRA CASTELO RODRIGO
7000;N SENHORA GRAÇA DO DIVOR
5200;AZINHOSO
5210;MIRANDA DO DOURO
7004;ÉVORA
7005;ÉVORA
5225;ATENOR
5230;ALGOSO
5335;AGROCHÃO
5340;ALA
5350;ALFÂNDEGA DA FÉ
5360;ASSARES
5370;ABAMBRES
5301;BRAGANÇA
5320;ALVAREDOS
4974;ARCOS DE VALDEVEZ
4980;AZIAS
5160;ADEGANHA
5180;FORNOS FEC
4910;ÂNCORA
4920;CAMPOS VNC
4930;ARÃO
4939;NEIVA
4940;AGUALONGA
4824;FAFE
4825;AGRELA STS
4809;SÃO LOURENÇO SANDE
4810;GUIMARÃES
4830;ÁGUAS SANTAS
4785;COVELAS TRF
4820;ABOIM FAF
4780;AREIAS STS
4814;GUIMARÃES
4815;SÃO FAUSTINO
2460;ALCOBAÇA
2384;ALCANENA
2395;MINDE
2420;ARRABAL
2434;MARINHA GRANDE
2435;CASAL DOS BERNARDOS
2495;SÃO MAMEDE
2634;ARRUDA DOS VINHOS
2635;RIO DE MOURO
2250;CONSTÂNCIA
2414;LEIRIA
2415;BIDOEIRA DE CIMA
2305;ALÉM DA RIBEIRA
2330;ENTRONCAMENTO
2430;MARINHA GRANDE
2490;ALBURITEL
2664;SÃO JULIÃO DO TOJAL
2665;AZUEIRA
2480;PORTO DE MÓS
2205;ABRANTES
2445;PATAIAS
1149;LISBOA
1150;LISBOA
2424;ARRABAL
2425;MONTE REAL
2484;PORTO DE MOS-S JOAO BAPTISTA
2485;MIRA DE AIRE
2550;CADAVAL
2400;LEIRIA
2540;BOMBARRAL
2461;ALCOBAÇA
2475;BENEDITA
2139;SAMORA CORREIA
2140;CHAMUSCA
2130;BENAVENTE
2200;ABRANTES
2354;ZIBREIRA
5000;ABAÇAS
2601;ALHANDRA
2605;BELAS
2120;SALVATERRA DE MAGOS
2260;ATALAIA VNB
2419;LEIRIA
2300;JUNCEIRA
5155;CEDOVIM
2450;FAMALICÃO NZR
5054;PESO DA RÉGUA
5060;CELEIRÓS SBR
2135;SAMORA CORREIA
1449;LISBOA
1495;ALGÉS
1849;LISBOA
